CREATED DATE,ItemSearchName,ProductType,Reviews,Rating
5/1/2018,2626-20,M18™ Cordless Multi-Tool (Tool Only),"We normally use our corded fein, but we had a large flooring job, lots of architrave to cut in. So I borrowed a mates Milwaukee cordless. All our cordless gear is Milwaukee, so batteries weren't an issue. Ran great, it has enough weight in the tool to deliver clean precision cuts. Cut through 100s of meters of 19mm tas oak architraves no problems. Only one little issue balance was a little off when using 9 amp battery. But that said your not dragging a cord around either. Will definitely be adding one to my stack. Keep your blades sharp and your batteries charged. Australian hardwoods will test any tool.",5
5/2/2018,2725-21HD,M18 FUEL™ String Trimmer Kit,I have a 2.8 acre lot with a long ditch running the length of the side and front. I go for hours on end running this and I love it. I have 3 9ah batteries and they come pretty close to doing the work without any recharge. I will advise however use only .080 string as the battery will turn off to prevent overheating with heavier string. The battery swaps are way faster and safer than refueling too.,5
5/3/2018,48-22-9925,STUD™ Tape Measures,,5
5/3/2018,6130-33,"7.0 AMP 4-1/2"" Small Angle Grinder",I bought this grinder brand to when welding on my boat. The on/off switch is sometimes hard to lock in the on position. Also while grinding it is to easy to hit the the switch and shut it off. It made the job very frustrating. I would gladly give this tool away!,2
5/4/2018,48-22-9016,17oz Milled Face Framing Hammer,I recently bought this hammer and it's great. I like it's made half with fiberglass makes it weigh less.,5
5/4/2018,2772A-20,M18 FUEL™ Drain Snake with CABLE-DRIVE™ Locking Feed System,So as a plumber the M18 Drain snake is a top piece of equipment to have. It saves on time in set up and in time to clear drains. The 3/8 cable with different heads is my cable of choice. The 1/4 cable was one thing that needs work. It bent and broke on me. Over all I highly recommend this to all plumbers. I also bought this tool on my own for my plumbing truck and have now even gotten my boss to buy one to try on other trucks. Keep it up Milwaukee. Great Job! Can't wait to purchase the switch pack next!,5
5/4/2018,2743-20,M18 FUEL™ 15ga Finish Nailer (Tool Only),When I bought the product I used it and it was having problems I sent it in to have it fixed I received it back up about two weeks later and it still was not working any better it Chatters without firing almost every time I can release it and try again and then it will fire,1
5/4/2018,2446-20,M12™ Cordless LITHIUM-ION Grease Gun (Tool Only),"I have several M12 tools so I bought this grease gun as an addition to my set.  I do not need a three foot hose on it, but when I went to change to a shorter hose I bought at my local hardware I discovered the threading does not match.  For some reason Milwaukee has put a different thread on this units hose attachment.",1
5/5/2018,2106,Alk Headlamp,"The brightness of the lamp is amazing, the headband is perfect.  BUT, the plastic casing for the headlamp is of the worst quality possible.  It breaks around the hinges in less than two weeks and it has happened to me 3 times and to a couple of friends at least once each.  I was the only one who went and bought a second one because I figured maybe we got a bad batch in this area, but no they still break the same.  I'm not talking letting a 5 year old play with it and then it breaks.  I'm talking put it on my head and just the normal wear and tear that would take years to break a cheap no brand headlamp kills this lamp in two weeks.  Milwaukee needs to remedy this because for $40.00 I would expect a lot more quality and endurance out of a Milwaukee tool.",1
5/6/2018,49-24-2371,M18™ Power Source,,2
5/6/2018,2364-20,M12™ Compact Flood Light,"I've had this for a couple of months now and it never ceases to amaze me when I turn it on. I work night shifts so it's always dark and measuring and cutting material is way nice with this thing, I usually just use the magnets and stick it to my work truck (it holds it weight surprisingly well) and work away as if it were the middle of the day. I also rock climb at night a lot and this thing lights up a whole climbing wall easy whether I put it on the ground or clip it to a rope and let if hang off the top of the cliff (looks about as bright as a street lamp) it does it's job perfectly. And with the big batteries it always lasts several hours on full blast. One of my favorite buys especially for the price.",5
